ID,Type,ontology,onther mappings,synonym,Label,Parent,Text definition,Comments,Subclass of,Equivalent to,Disjoint with,Ignore,Annotations
,Class,oba,,has_related_synonym: humerus greatest length,length line trochlea of humerus to proximal head of humerus,,The length of a line of a trochlea of a humerus to a proximal head of a humerus.,,'humerus length',length' and ('inheres in' some 'line trochlea of humerus to proximal head of humerus'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,has_related_synonym: humerus greatest length,length line trochlea of humerus to ventral tubercle of humerus,,The length of a line of a trochlea of a humerus to a ventral tubercle of a humerus.,,'humerus length',length' and ('inheres in' some 'line trochlea of humerus to ventral tubercle of humerus'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line from helix of outer ear to intertragus incisure,,A line that connects a helix of the outer ear to an intertragus incisure of an ear.,,,,,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,Class,uberon,,,line of medial condyle of femur to greater trochanter,,A line that connects a medial condyle of a femur to a greater trochanter of a femur.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line of medial condyle of femur to head of femur,,A line that connects a medial condyle of a femur to a head of a femur.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line trochlea of humerus to proximal head of humerus,,A line that connects a trochlea of a humerus to a proximal head of a humerus.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line trochlea of humerus to ventral tubercle of humerus,,A line that connects a trochlea of a humerus to a ventral tubercle of a humerus.,,anatomical line' and (connects some 'trochlea of humerus') and (connects some ('ventral tubercle of humerus' and ('part of' some humerus))),,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,molar 1 length,,lower first secondary molar tooth length,,The length of a lower seconday molar tooth in the first position.,,molar 1 length,length' and (('inheres in' some 'molar 1 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower first secondary molar tooth'),,,
,class,oba,molar 1 width,,lower first secondary molar tooth width,,The width of a lower seconday molar tooth in the first position.,,molar 1 width,width' and (('inheres in' some 'molar 1 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower first secondary molar tooth'),,,
,class,uberon,,,lower fourth secondary premolar tooth,,,,,premolar tooth' and (part_of some 'lower jaw region') and (part_of some 'secondary dentition'),,,
,class,oba,molar 2 length,,lower fourth secondary premolar tooth length,,The length of a lower seconday molar tooth in the fourth position.,,premolar 4 length,length' and (('inheres in' some 'premolar tooth 4') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower fourth secondary premolar tooth'),,,
,class,oba,molar 2 width,,lower fourth secondary premolar tooth width,,The width of a lower seconday molar tooth in the fourth position.,,premolar 4 width,width' and (('inheres in' some 'premolar tooth 4') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower fourth secondary premolar tooth'),,,
,class,oba,,,lower molar tooth row length,,,,,length' and ('inheres in' some 'set of lower jaw teeth'),,,
,class,oba,molar 3 length,,lower second secondary molar tooth length,,The length of a lower seconday molar tooth in the second position.,,molar 2 length,length' and (('inheres in' some 'molar 2 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower second secondary molar tooth'),,,
,class,oba,molar 3 width,,lower second secondary molar tooth width,,The width of a lower seconday molar tooth in the second position.,,molar 2 width,width' and (('inheres in' some 'molar 2 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower second secondary molar tooth'),,,
,Class,oba,,,lower secondary canine width,,The width of a lower canine tooth.,,'secondary canine width','width' and ('inheres in' some 'lower secondary canine tooth'),,,"IAO:0000119 'Lillegraven,  J. A. 1969. Latest Cretaceous mammals of the upper part of Edmonton Formation of Alberta, Canada, and review of marsupial-placental dichotomy in mammalian evolution. University of Kansas Paleontological Contributions 50:1-122."""
,Class,oba,,,lower secondary canine width,,The width of a lower secondary canine tooth.,,'secondary canine width','width' and ('inheres in' some 'lower secondary canine tooth'),,,"IAO:0000119 'Lillegraven,  J. A. 1969. Latest Cretaceous mammals of the upper part of Edmonton Formation of Alberta, Canada, and review of marsupial-placental dichotomy in mammalian evolution. University of Kansas Paleontological Contributions 50:1-122."""
,class,oba,,,lower third secondary molar tooth length,,The length of a lower seconday molar tooth in the third position.,,molar 3 length,length' and (('inheres in' some 'molar 3 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower third secondary molar tooth'),,,
,class,oba,,,lower third secondary molar tooth width,,The width of a lower seconday molar tooth in the third position.,,molar 3 width,width' and (('inheres in' some 'molar 3 tooth') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower third secondary molar tooth'),,,
,class,uberon,,,lower third secondary premolar tooth,,,,,premolar tooth' and (part_of some 'upper jaw region') and (part_of some 'secondary dentition'),,,
,class,oba,,,lower third secondary premolar tooth length,,The length of a lower seconday premolar tooth in the third position.,,premolar 3 length,length' and (('inheres in' some 'premolar 3') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower third secondary premolar tooth'),,,
,class,oba,,,lower third secondary premolar tooth width,,The width of a lower seconday premolar tooth in the third position.,,premolar 3 width,width' and (('inheres in' some 'premolar 3') and ('part of' some 'lower jaw dentition')) or ('inheres in' some 'lower third secondary premolar tooth'),,,
,class,oba,molars 1-2 length; m1-2 length,,,,,,molars 1-2 length,length' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar')) or ('part of' some 'molars 1-2 length'),,,
,class,oba,molars 1-2 length; M1-2 length,,,,,,molars 1-2 length,length' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar')) or ('part of' some 'molars 1-2 length'),,,
,class,oba,molars 1-2 width; m1-2 width,,,,,,molars 1-2 width,width' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar')) or ('part of' some 'molars 1-2 width'),,,
,class,oba,molars 1-2 width; M1-2 width,,,,,,molars 1-2 width,width' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar')) or ('part of' some 'molars 1-2 width'),,,
,class,oba,molars 1-3 length; m1-3 length,,,,,,molars 1-3 length,length' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar' and 'has_part' third secondary molar')) or ('part of' some 'molars 1-3 length'),,,
,class,oba,molars 1-3 length; M1-3 length,,,,,,molars 1-3 length,length' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'upper first secondary molar' and 'has_part' 'upper second secondary molar' and 'has_part' 'upper third secondary molar')) or ('part of' some 'molars 1-3 length'),,,
,class,oba,molars 1-3 width; m1-3 width,,,,,,molars 1-3 width,width' and ('inheres in' some ('set of lower jaw teeth' and ('has_part' 'lower first secondary molar' and 'has_part' lower second secondary molar' and 'has_part' third secondary molar')) or ('part of' some 'molars 1-3 width'),,,
,class,oba,molars 1-3 width; M1-3 width,,,,,,molars 1-3 width,width' and ('inheres in' some ('set of upper jaw teeth' and ('has_part' 'upper first secondary molar' and 'has_part' 'upper second secondary molar' and 'has_part' 'upper third secondary molar')) or ('part of' some 'molars 1-3 width'),,,
,class,oba,,,Metacarpal greatest breadth distal,,,,,,,,
,class,oba,,,Metacarpal greatest depth distal,,,,,,,,
,class,oba,,,Metacarpal greatest depth proximal,,,,,,,,
,class,oba,,,Metacarpal greatest length,,,,,,,,
,Class,oba,,,metacarpal proximal breadth,,The breadth of a proximal metacarpal.,,,'width' and ('inheres in' some ('proximal region' and ('part of' some 'metacarpal bone'))),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,,,Metacarpal proximal breadth of facet,,,,,,,,
,class,oba,,,Metacarpal smallest diameter sagittal plane,,,,,,,,
,class,oba,,,Metacarpal smallest diameter transverse plane,,,,,,,,
,class,oba,,,Metatarsal breadth of the distal facet,,,,,,,,
,class,oba,,,Metatarsal greatest breadth distal,,,,,,,,
,class,oba,,,Metatarsal greatest breadth proximal,,,,,,,,
,class,oba,,,Metatarsal greatest depth distal,,,,,,,,
,class,oba,,,Metatarsal greatest depth proximal,,,,,,,,
,class,oba,,,Metatarsal greatest length,,,,,,,,
,class,oba,,,Metatarsal smallest diameter sagittal plane,,,,,,,,
,class,oba,,,Metatarsal smallest diameter transverse plane,,,,,,,,
,class,oba,,,,,,,,length' and ('inheres in' some 'molar 1 tooth'),,,
,class,oba,,,,,,,,width' and ('inheres in' some 'molar 1 tooth'),,,
,class,oba,,,,,,,,length' and ('inheres in' some 'molar 2 tooth'),,,
,class,oba,,,,,,,,width' and ('inheres in' some 'molar 2 tooth'),,,
,class,oba,,,,,,,,length' and ('inheres in' some 'molar 3 tooth'),,,
,class,oba,,,,,,,,width' and ('inheres in' some 'molar 3 tooth'),,,
,class,uberon,,molar 4 tooth; molar 4; fourth molar tooth,molar tooth 4,,The molar tooth of the upper or lower jaw that is phylogenetically number 3,,molar tooth,,,,
,class,oba,,,,,,,,length' and ('has_part' some 'molar tooth 1' and 'molar tooth 2'),,,
,class,oba,,,,,,,,width' and ('has_part' some 'molar tooth 1' and 'molar tooth 2'),,,
,class,oba,,,,,,,,length' and ('has_part' some 'molar tooth 1' and 'molar tooth 2' and 'molar tooth 3'),,,
,class,oba,,,,,,,,width' and ('has_part' some 'molar tooth 1' and 'molar tooth 2' and 'molar tooth 3'),,,
,Class,oba,,,olecranon length,,The length of an olecranon.,,,'length' and ('inheres in' some 'olecranon'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
